Division,Make,MasterCollection,Collection,Classification,SubClassification,SubSection,Type,Gender,DesignNumber,Jewellery
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0140,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0144,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0146,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0150,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0151,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0152,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0154,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0155,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0157,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0159,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0164,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0167,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0172,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0174,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0175,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0178,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0184,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0188,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0202,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0206,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0207,CHAIN
